id,situacion,anio,revista,titulo,n_informes,diseno,n_brazo,procedencia,texto_completo,clave_de_estudio
EST-046,extraible,2017,"Critical care (London, England)",Use of bacteriophages in the treatment of colistin-only-sensitive Pseudomonas aeruginosa septicaemia in a patient with acute kidney injury-a case report.,1,case report,1,,sí,T:useofbacteriophagesinthetreatmentofcolistinonlysensitivepseudomonasaeruginosasep
EST-047,extraible,2019,Antimicrobial agents and chemotherapy,Bacteriophages as Adjuvant to Antibiotics for the Treatment of Periprosthetic Joint Infection Caused by Multidrug-Resistant Pseudomonas aeruginosa.,1,case report,1,,sí,T:bacteriophagesasadjuvanttoantibioticsforthetreatmentofperiprostheticjointinfecti
EST-048,extraible,2023,Open forum infectious diseases,Application of Phage Therapy in a Case of a Chronic Hip-Prosthetic Joint Infection due to Pseudomonas aeruginosa: An Italian Real-Life Experience and In Vitro Analysis.,1,case report,1,Italia,sí,T:applicationofphagetherapyinacaseofachronichipprostheticjointinfectionduetopseudo
EST-049,extraible,2023,The Journal of infectious diseases,Development of Host Immune Response to Bacteriophage in a Lung Transplant Recipient on Adjunctive Phage Therapy for a Multidrug-Resistant Pneumonia.,1,case report,1,,no,T:developmentofhostimmuneresponsetobacteriophageinalungtransplantrecipientonadjunc
EST-050,extraible,2024,International journal of antimicrobial agents,Access to phage therapy at Hospices Civils de Lyon in 2022: Implementation of the PHAGEinLYON Clinic programme.,2,prospective cohort,26,Francia,no,NCT05883995
EST-051,extraible,2024,Frontiers in Medicine,Case report: Local bacteriophage therapy for fracture-related infection with polymicrobial multi-resistant bacteria: hydrogel application and postoperative phage analysis through metagenomic sequencing,1,case report,1,,sí,T:casereportlocalbacteriophagetherapyforfracturerelatedinfectionwithpolymicrobialm
EST-052,extraible,2023,Journal of cystic fibrosis,CYstic Fibrosis bacterioPHage study at Yale (CYPHY),5,RCT,,,no,NCT04684641
EST-053,extraible,2024,"Antibiotics (Basel, Switzerland)",Phage-Antibiotic Combination Therapy against Recurrent Pseudomonas Septicaemia in a Patient with an Arterial Stent.,1,case report,1,,sí,T:phageantibioticcombinationtherapyagainstrecurrentpseudomonassepticaemiainapatien
EST-054,extraible,2025,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Bacteriophage Therapy for Chronic Mastoiditis.,1,case report,1,Estados Unidos,no,T:bacteriophagetherapyforchronicmastoiditis
EST-055,extraible,2025,Current Urology,"Bacteriophage therapy in women with chronic recurrent cystitis caused by multidrug-resistant bacteria: A prospective, observational, comparative study",1,prospective cohort,217,,sí,T:bacteriophagetherapyinwomenwithchronicrecurrentcystitiscausedbymultidrugresistan
EST-056,solo-registro,2025,https://clinicaltrials.gov/study/NCT06870409,Bacteriophages in Addition to Antibiotics for the Treatment of Patients with Infective Endocarditis,2,,,,no,NCT06870409
EST-057,extraible,2025,Viruses,Phage Therapy as a Rescue Treatment for Recurrent Pseudomonas aeruginosa Bentall Infection.,1,case report,1,,sí,T:phagetherapyasarescuetreatmentforrecurrentpseudomonasaeruginosabentallinfection
EST-058,extraible,2025,ASM case reports,Resolution of acute rejection in a bilateral double-lung transplanted cystic fibrosis patient following phage intervention.,1,case report,1,,sí,T:resolutionofacuterejectioninabilateraldoublelungtransplantedcysticfibrosispatien
EST-059,extraible,2017,Infektsionnye Bolezni,Anti-phage antibody response in phage therapy against healthcare-associated infections (HAIs),1,prospective cohort,42,Rusia,no,T:antiphageantibodyresponseinphagetherapyagainsthealthcareassociatedinfectionshais
EST-060,extraible,2018,Viruses,Clinical Indications and Compassionate Use of Phage Therapy: Personal Experience and Literature Review with a Focus on Osteoarticular Infections.,1,,,,no,T:clinicalindicationsandcompassionateuseofphagetherapypersonalexperienceandliterat
EST-061,extraible,2019,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Early clinical experience of bacteriophage therapy in 3 lung transplant recipients.,1,case series,2,,no,T:earlyclinicalexperienceofbacteriophagetherapyin3lungtransplantrecipients
EST-062,extraible,2022,Nature Communications ,Bacteriophage-antibiotic combination therapy against extensively drug-resistant Pseudomonas aeruginosa infection to allow liver transplantation in a toddler.,1,case report,1,,sí,T:bacteriophageantibioticcombinationtherapyagainstextensivelydrugresistantpseudomo
